#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.760360 0.992988 0.000000
0.761261 0.993017 0.000000
0.762162 0.993045 0.000000
0.763063 0.993074 0.000000
0.763964 0.993102 0.000000
0.764865 0.993131 0.000000
0.765766 0.993160 0.000000
0.766667 0.993189 0.000000
0.767568 0.993218 0.000000
0.768468 0.993247 0.000000
0.769369 0.993276 0.000000
0.770270 0.993306 0.000000
0.771171 0.993336 0.000000
0.772072 0.993366 0.000000
0.772973 0.993396 0.000000
0.773874 0.993427 0.000000
0.774775 0.993458 0.000000
0.775676 0.993489 0.000000
0.776577 0.993520 0.000000
0.777477 0.993551 0.000000
0.778378 0.993583 0.000000
0.779279 0.993615 0.000000
0.780180 0.993646 0.000000
0.781081 0.993678 0.000000
0.781982 0.993710 0.000000
0.782883 0.993742 0.000000
0.783784 0.993774 0.000000
0.784685 0.993806 0.000000
0.785586 0.993838 0.000000
0.786486 0.993870 0.000000
0.787387 0.993901 0.000000
0.788288 0.993932 0.000000
0.789189 0.993962 0.000000
0.790090 0.993991 0.000000
0.790991 0.994019 0.000000
0.791892 0.994046 0.000000
0.792793 0.994071 0.000000
0.793694 0.994093 0.000000
0.794595 0.994113 0.000000
0.795495 0.994128 0.000000
0.796396 0.994138 0.000000
0.797297 0.994141 0.000000
0.798198 0.994137 0.000000
0.799099 0.994121 0.000000
0.800000 0.994091 0.000000
0.800901 0.994043 0.000000
0.801802 0.993971 0.000000
0.802703 0.993868 0.000000
0.803604 0.993722 0.000000
0.804505 0.993518 0.000000
0.805405 0.993234 0.000000
0.806306 0.992839 0.000000
0.807207 0.992283 0.000000
0.808108 0.991489 0.000000
0.809009 0.990335 0.000000
0.809910 0.988610 0.000000
0.810811 0.985940 0.000000
0.811712 0.981607 0.000000
0.812613 0.974110 0.000000
0.813514 0.959937 0.000000
0.814414 0.929501 0.000000
0.815315 0.850809 0.000000
0.816216 0.599255 0.000000
0.817117 0.173369 0.000001
0.818018 0.566561 0.000000
0.818919 0.807689 0.000000
0.819820 0.892904 0.000000
0.820721 0.929873 0.000000
0.821622 0.949008 0.000000
0.822523 0.960207 0.000000
0.823423 0.967360 0.000000
0.824324 0.972232 0.000000
0.825225 0.975718 0.000000
0.826126 0.978310 0.000000
0.827027 0.980316 0.000000
0.827928 0.981917 0.000000
0.828829 0.983200 0.000000
0.829730 0.984246 0.000000
0.830631 0.985114 0.000000
0.831532 0.985844 0.000000
0.832432 0.986466 0.000000
0.833333 0.987001 0.000000
0.834234 0.987465 0.000000
0.835135 0.987872 0.000000
0.836036 0.988231 0.000000
0.836937 0.988550 0.000000
0.837838 0.988835 0.000000
0.838739 0.989091 0.000000
0.839640 0.989323 0.000000
0.840541 0.989534 0.000000
0.841441 0.989726 0.000000
0.842342 0.989902 0.000000
0.843243 0.990063 0.000000
0.844144 0.990213 0.000000
0.845045 0.990351 0.000000
0.845946 0.990479 0.000000
0.846847 0.990599 0.000000
0.847748 0.990710 0.000000
0.848649 0.990815 0.000000
0.849550 0.990913 0.000000
0.850450 0.991005 0.000000
0.851351 0.991092 0.000000
